method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit
custom_gurobi,"[100000, 100, 100, 1]",10010300,51,0.0,0.7750878723060357,0.7750877737998962,6.295754432678223,14.772655248641968,2,600
custom_gurobi,"[100000, 100, 100, 1]",5005251,51,0.5,0.6935850404386474,0.7750877737998962,3.4622225761413574,12.827941179275513,2,600
custom_gurobi,"[100000, 100, 100, 1]",1001211,51,0.9,0.2594483360446647,0.6174377202987671,1.576744794845581,11.806384801864624,2,600
custom_gurobi,"[100000, 100, 100, 1]",500706,51,0.95,0.1640684861277614,0.6174377202987671,1.5627567768096924,11.473823070526123,2,600
custom_gurobi,"[100000, 100, 100, 1]",100302,51,0.99,1.1000373694342727,1.0927454233169556,7.018733978271484,11.195393562316895,4,600
custom_gurobi,"[100000, 100, 100, 1]",50251,51,0.995,0.5961201355690544,0.6174377202987671,1.6149623394012451,11.083076238632202,3,600
