method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit
custom_gurobi,"[1000, 100, 100, 100, 1]",120401,51,0.0,0.4013725357450316,0.4013725221157074,575.4167289733887,577.9742813110352,16,600
custom_gurobi,"[1000, 100, 100, 100, 1]",60351,51,0.5,0.24479001569203546,0.2263069748878479,575.2447819709778,578.1735949516296,24,600
custom_gurobi,"[1000, 100, 100, 100, 1]",12311,51,0.9,0.08737602311525484,0.06416363269090652,0.45636892318725586,0.48721909523010254,2,600
custom_gurobi,"[1000, 100, 100, 100, 1]",6306,51,0.95,0.08434040918100451,0.06416363269090652,0.44360971450805664,0.4609212875366211,2,600
custom_gurobi,"[1000, 100, 100, 100, 1]",1502,51,0.99,0.0663582240004412,0.06416363269090652,0.5669870376586914,0.5977153778076172,2,600
custom_gurobi,"[1000, 100, 100, 100, 1]",901,51,0.995,0.06568722220698181,0.06416363269090652,0.4443049430847168,0.4729654788970947,2,600
custom_gurobi,"[1000, 1000, 1000, 1000, 1]",3004001,51,0.0,0.043344127342023225,0.04334412142634392,10.141863584518433,17.603496074676514,2,600
custom_gurobi,"[1000, 1000, 1000, 1000, 1]",1503501,51,0.5,-0.002386864745033972,0.04334412142634392,7.55673360824585,15.954684495925903,2,600
custom_gurobi,"[1000, 1000, 1000, 1000, 1]",303101,51,0.9,-0.013925224724870783,0.04334412142634392,5.457176685333252,14.936424970626831,3,600
custom_gurobi,"[1000, 1000, 1000, 1000, 1]",153051,51,0.95,-0.0148857900954097,0.04334412142634392,5.28653621673584,14.786813259124756,2,600
custom_gurobi,"[1000, 1000, 1000, 1000, 1]",33011,51,0.99,-0.013456170892639943,0.04334412142634392,4.895005464553833,14.607040882110596,4,600
custom_gurobi,"[1000, 1000, 1000, 1000, 1]",18006,51,0.995,-0.01267418037955671,0.04334412142634392,4.880924701690674,14.190698862075806,4,600
