method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit
custom_gurobi,"[10000, 100, 100, 100, 1]",1020401,51,0.0,-0.02024963392316457,-0.020249634981155396,7.448652267456055,435.5868673324585,4,600
custom_gurobi,"[10000, 100, 100, 100, 1]",510351,51,0.5,-0.028736671805174065,-0.03144329786300659,2.359707832336426,432.31505012512207,5,600
custom_gurobi,"[10000, 100, 100, 100, 1]",102311,51,0.9,-0.013565140322331349,-0.03059820458292961,1.1465284824371338,435.0826406478882,8,600
custom_gurobi,"[10000, 100, 100, 100, 1]",51306,51,0.95,-0.028797757051506008,-0.0377984382212162,0.9620318412780762,435.3319354057312,5,600
custom_gurobi,"[10000, 100, 100, 100, 1]",10502,51,0.99,-0.060411753516023445,-0.06130213290452957,0.6881077289581299,0.7327849864959717,2,600
custom_gurobi,"[10000, 100, 100, 100, 1]",5401,51,0.995,-0.0700577964442997,-0.06130213290452957,0.6810626983642578,0.7152326107025146,2,600
custom_gurobi,"[10000, 1000, 1000, 1000, 1]",12004000,51,0.0,0.6650987400386511,0.6650987863540649,13.20705533027649,20.400450706481934,2,600
custom_gurobi,"[10000, 1000, 1000, 1000, 1]",6003501,51,0.5,0.494796438265618,0.6650987863540649,11.14780592918396,19.226053476333618,2,600
custom_gurobi,"[10000, 1000, 1000, 1000, 1]",1203101,51,0.9,-0.012257288566081008,0.6650987863540649,8.570491552352905,11.036244630813599,4,600
custom_gurobi,"[10000, 1000, 1000, 1000, 1]",603051,51,0.95,-0.017381697902492086,0.6650987863540649,7.277825593948364,12.327149391174316,4,600
custom_gurobi,"[10000, 1000, 1000, 1000, 1]",123011,51,0.99,-0.012853141020726537,0.6650987863540649,7.032698392868042,10.801775932312012,3,600
custom_gurobi,"[10000, 1000, 1000, 1000, 1]",63006,51,0.995,-0.01227324483721057,0.6650987863540649,6.838393211364746,8.709151029586792,2,600
