method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit
custom_gurobi,"[1000, 100, 100, 1]",110301,51,0.0,1.0185588134609769,1.0185588598251343,533.6547961235046,592.6264560222626,30,600
custom_gurobi,"[1000, 100, 100, 1]",55251,51,0.5,1.0812493623434796,1.054963231086731,344.9359338283539,591.8413639068604,31,600
custom_gurobi,"[1000, 100, 100, 1]",11211,51,0.9,0.39014185608741125,0.30759772658348083,0.4078178405761719,592.0676965713501,12,600
custom_gurobi,"[1000, 100, 100, 1]",5706,51,0.95,0.008041733792385812,0.30759772658348083,0.3001282215118408,0.311748743057251,2,600
custom_gurobi,"[1000, 100, 100, 1]",1302,51,0.99,0.02104202429573045,0.30759772658348083,0.2933778762817383,0.30101895332336426,2,600
custom_gurobi,"[1000, 100, 100, 1]",751,51,0.995,0.03975867821585669,0.30759772658348083,0.29130029678344727,0.29787468910217285,2,600
custom_gurobi,"[1000, 1000, 1000, 1]",2003001,51,0.0,0.15708401067094718,0.15708398818969727,5.548071622848511,14.113160371780396,2,600
custom_gurobi,"[1000, 1000, 1000, 1]",1002501,51,0.5,0.04790721675999637,0.14571698009967804,4.23891282081604,13.575866460800171,2,600
custom_gurobi,"[1000, 1000, 1000, 1]",202101,51,0.9,0.06829886358809965,0.15708398818969727,3.036687135696411,12.920826196670532,4,600
custom_gurobi,"[1000, 1000, 1000, 1]",102051,51,0.95,0.02056511073193018,0.15708398818969727,2.9200425148010254,12.863292694091797,4,600
custom_gurobi,"[1000, 1000, 1000, 1]",22011,51,0.99,-0.0015750210167961936,0.17010070383548737,2.796738624572754,12.779809951782227,4,600
custom_gurobi,"[1000, 1000, 1000, 1]",12006,51,0.995,-0.002874424088403729,0.1392170935869217,2.841454029083252,7.717843770980835,5,600
