method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 50, 50, 1]",856,51,0.9,0.0467411114282714,0.0553216859698295,0.1891965866088867,0.1904511451721191,1,600,0.2673710882663727,
no_warm_start_dense_passing,"[100, 50, 50, 1]",479,51,0.95,0.059889217333816,0.0553216859698295,0.2387611865997314,0.2408461570739746,1,600,0.2673710882663727,
no_warm_start_dense_passing,"[100, 50, 50, 1]",139,51,0.995,0.0594725454385055,0.0553216859698295,0.2204036712646484,0.2221395969390869,1,600,0.2673710882663727,
no_warm_start_dense_passing,"[100, 50, 50, 1]",109,51,0.999,0.0571141578257083,0.0553216859698295,0.2136495113372802,0.2155072689056396,1,600,0.2673710882663727,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,52,0.0,0.2573822384548373,0.2573822438716888,254.3984682559967,601.4462366104126,3156,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",5386,52,0.3,0.2468888381095957,0.2452795505523681,92.78927969932556,610.3285984992981,8826,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",3876,52,0.5,0.1549873587826766,0.2073371857404709,86.02795553207397,600.6910486221313,14556,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",1611,52,0.8,0.0798592050129538,0.062364038079977,616.9223463535309,619.4400491714478,38726,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",856,52,0.9,-0.0897609881731908,-0.0768190771341323,0.1508288383483886,0.1518020629882812,1,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",479,52,0.95,-0.0663753480454668,-0.0768190771341323,0.1523234844207763,0.1532840728759765,1,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",139,52,0.995,-0.0536833818494624,-0.0768190771341323,0.2118022441864013,0.2132253646850586,1,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",109,52,0.999,-0.0397628210484981,-0.0768190771341323,0.2126228809356689,0.2137022018432617,1,600,0.1733169555664062,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,53,0.0,0.5433407791260658,0.5433406829833984,336.01703453063965,600.476137638092,3963,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",5386,53,0.3,0.4923765585501301,0.5221807360649109,160.60573387145996,600.5316457748413,3795,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",3876,53,0.5,0.4460113330620685,0.4325335025787353,217.8209536075592,604.5450727939606,12165,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",1611,53,0.8,0.1767504899094211,0.3101686537265777,455.6784510612488,606.3535182476044,90800,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",856,53,0.9,0.0037451988900375,0.0403227396309375,0.1600887775421142,1.172961950302124,1,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",479,53,0.95,0.0175789563903973,0.0511236079037189,0.1493659019470214,0.1503605842590332,1,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",139,53,0.995,-0.0136299543082714,0.0511236079037189,0.2101633548736572,0.2112741470336914,1,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",109,53,0.999,-0.0136299543082714,0.0511236079037189,0.2095615863800048,0.210646390914917,1,600,0.4768570959568023,
no_warm_start_dense_passing,"[100, 50, 50, 1]",7651,54,0.0,0.3745750312176252,0.3745750188827514,600.8070828914642,601.1328406333923,3424,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 50, 50, 1]",5386,54,0.3,0.3644420805781153,0.3600109815597534,511.15139293670654,600.5819489955902,6428,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 50, 50, 1]",3876,54,0.5,0.352298918464914,0.3106548488140106,12.31525945663452,601.312876701355,13846,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 50, 50, 1]",1611,54,0.8,0.1929696094189048,0.2524454891681671,162.61225700378418,608.6625590324402,79253,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 50, 50, 1]",856,54,0.9,0.0004231592197932,0.0010564438998699,0.1524510383605957,0.1540007591247558,1,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 50, 50, 1]",479,54,0.95,-0.0092113441585881,0.0010564438998699,0.1492335796356201,0.1501133441925048,1,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 50, 50, 1]",139,54,0.995,0.0175433489081973,0.0010564438998699,0.1560323238372802,0.1569690704345703,1,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 50, 50, 1]",109,54,0.999,0.0175433489081973,0.0010564438998699,0.1542553901672363,0.1556282043457031,1,600,0.2965342700481415,
no_warm_start_dense_passing,"[100, 100, 100, 1]",20301,50,0.0,0.1987345116669608,0.1987344026565551,400.7487592697144,600.6968984603882,264,600,0.1731444746255874,
