method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 200, 200, 200, 1]",100801,53,0.0,-0.0030776512538848,-0.0030778683722019,601.8131685256958,602.1193673610687,4,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 1]",100801,54,0.0,0.0026239912091361,0.0026239827275276,67.94664812088013,602.0467798709869,2,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 1]",12751,50,0.0,0.1622627733729735,0.1622627675533294,518.7805247306824,600.9629020690918,16,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 1]",12751,51,0.0,-0.026445759425817,-0.0264457650482654,580.5722577571869,600.7889814376831,24,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 1]",12751,52,0.0,0.1386335095743617,0.1386333256959915,212.01837611198425,600.7817678451538,20,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 1]",12751,53,0.0,-0.0861472632467811,-0.0861472636461258,500.4864423274994,601.0128397941589,16,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 1]",12751,54,0.0,0.0290632026253068,0.0290631987154483,409.91652512550354,600.9953544139862,15,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 1]",40501,50,0.0,0.0430015916701045,0.0430015921592712,4.143213748931885,601.4590964317322,1,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 1]",40501,51,0.0,0.0220653253379709,0.0220652259886264,4.278351068496704,601.6333985328674,3,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 1]",40501,52,0.0,-inf,-inf,,600.9987235069275,0,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 1]",40501,53,0.0,-0.0100620787688171,-0.0100620798766613,554.2253229618073,600.9768040180206,8,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 1]",40501,54,0.0,-0.0308235947166964,-0.0308235958218574,520.856819152832,601.0315301418304,8,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 1]",141001,50,0.0,-inf,-inf,,601.8451642990112,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 1]",141001,51,0.0,-inf,-inf,,602.1858463287354,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 1]",141001,52,0.0,-inf,-inf,,602.0097441673279,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 1]",141001,53,0.0,-inf,-inf,,601.6166307926178,0,600,0,
no_warm_start_dense_passing,"[100, 200, 200, 200, 200, 1]",141001,54,0.0,-inf,-inf,,602.501571893692,0,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 50, 1]",15301,50,0.0,0.0629970231837344,0.0629970282316207,342.0428824424744,601.0922615528107,6,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 50, 1]",15301,51,0.0,-0.0448574611628384,-0.0448574647307395,329.7833490371704,600.799277305603,13,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 50, 1]",15301,52,0.0,-0.116928242442851,-0.1169282421469688,308.9732012748718,600.8593649864197,9,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 50, 1]",15301,53,0.0,-0.071141957045727,-0.0711419582366943,284.7968966960907,600.8109042644501,8,600,0,
no_warm_start_dense_passing,"[100, 50, 50, 50, 50, 50, 1]",15301,54,0.0,0.0813419009072524,0.0813418626785278,382.3922753334045,600.7325303554535,12,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 100, 1]",50601,50,0.0,0.1196216854939661,0.1196215823292732,3.3109350204467773,601.3107092380524,5,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 100, 1]",50601,51,0.0,-0.0279479491680857,-0.0279479660093784,4.221450090408325,601.2710475921631,4,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 100, 1]",50601,52,0.0,-inf,-inf,,601.2832388877869,0,600,0,
no_warm_start_dense_passing,"[100, 100, 100, 100, 100, 100, 1]",50601,53,0.0,-inf,-inf,,601.2898433208466,0,600,0,
