Model Name,Data Seed,Training Seed,Input Size,Number of Layers,Layers Size,CallBack Type,Prune Time,Total Params,Params Details,Accuracy,MostNegative,TimeFirstNegative
random_structured_nonfinetune_0.3,0,2,28,2,32,NonCallBack,2.1161611080169678,18250,"[17248, 704, 224]",0.4902,-13.760634422302246,0.5085711479187012
random_structured_nonfinetune_0.5,0,2,28,2,32,NonCallBack,1.9276270866394043,13290,"[12544, 512, 160]",0.2514,-0.30837833881378174,0.5293450355529785
random_structured_nonfinetune_0.8,0,2,28,2,32,NonCallBack,1.9651703834533691,5850,"[5488, 224, 64]",0.098,0.1266646385192871,2.0705249309539795
random_structured_nonfinetune_0.9,0,2,28,2,32,NonCallBack,1.9821760654449463,2554,"[2352, 96, 32]",0.0892,5.283270835876465,
random_structured_nonfinetune_0.95,0,2,28,2,32,NonCallBack,1.9796273708343506,1738,"[1568, 64, 32]",0.0892,4.959477424621582,
dense,0,2,28,2,64,NonCallBack,0,55050,"[50176, 4096, 640]",0.9597,-8.86821174621582,70.75808095932007
unstructured_finetune_0.3,0,2,28,2,64,NonCallBack,183.93899774551392,38576,"[35123, 2867, 448]",0.9768,-12.012310028076172,0.5502920150756836
unstructured_finetune_0.5,0,2,28,2,64,NonCallBack,183.9151520729065,27593,"[25088, 2048, 319]",0.9749,-11.89824104309082,3.9162659645080566
unstructured_finetune_0.8,0,2,28,2,64,NonCallBack,181.94904088974,11121,"[10035, 820, 128]",0.9687,-4.128639221191406,1.0908820629119873
unstructured_finetune_0.9,0,2,28,2,64,NonCallBack,183.18036675453186,5628,"[5017, 409, 64]",0.9558,-2.7716262340545654,0.2959418296813965
unstructured_finetune_0.95,0,2,28,2,64,NonCallBack,181.38188791275024,2884,"[2509, 205, 32]",0.9289,-0.5595626831054688,0.19927597045898438
unstructured_nonfinetune_0.3,0,2,28,2,64,NonCallBack,1.7844312191009521,38576,"[35123, 2867, 448]",0.9571,-11.001004219055176,39.886714935302734
unstructured_nonfinetune_0.5,0,2,28,2,64,NonCallBack,1.8545565605163574,27593,"[25088, 2048, 319]",0.9408,-10.113725662231445,30.5029718875885
unstructured_nonfinetune_0.8,0,2,28,2,64,NonCallBack,1.8838026523590088,11121,"[10035, 820, 128]",0.7398,-5.236822605133057,1.0816318988800049
unstructured_nonfinetune_0.9,0,2,28,2,64,NonCallBack,1.8131678104400635,5628,"[5017, 409, 64]",0.5139,-7.855531692504883,0.23667597770690918
unstructured_nonfinetune_0.95,0,2,28,2,64,NonCallBack,1.8119757175445557,2884,"[2509, 205, 32]",0.2715,-1.3719751834869385,0.10857582092285156
structured_finetune_0.3,0,2,28,2,64,NonCallBack,189.43780660629272,38746,"[35280, 2880, 448]",0.7829,3.672654151916504,
structured_finetune_0.5,0,2,28,2,64,NonCallBack,189.13667726516724,27594,"[25088, 2048, 320]",0.5854,-8.519755363464355,1.3491508960723877
structured_finetune_0.8,0,2,28,2,64,NonCallBack,184.15244054794312,10442,"[9408, 768, 128]",0.2935,-5.0138325691223145,0.038427114486694336
structured_finetune_0.9,0,2,28,2,64,NonCallBack,182.18061351776123,5290,"[4704, 384, 64]",0.199,-6.1425676345825195,0.012639999389648438
structured_finetune_0.95,0,2,28,2,64,NonCallBack,186.34312272071838,2746,"[2352, 192, 64]",0.2062,-5.993587970733643,0.01173710823059082
structured_nonfinetune_0.3,0,2,28,2,64,NonCallBack,1.8270971775054932,38746,"[35280, 2880, 448]",0.6503,-8.9138765335083,21.723971128463745
structured_nonfinetune_0.5,0,2,28,2,64,NonCallBack,1.802231788635254,27594,"[25088, 2048, 320]",0.4016,-7.22259521484375,0.5987699031829834
structured_nonfinetune_0.8,0,2,28,2,64,NonCallBack,1.9416990280151367,10442,"[9408, 768, 128]",0.0918,-0.4796137809753418,0.0233609676361084
structured_nonfinetune_0.9,0,2,28,2,64,NonCallBack,1.8434996604919434,5290,"[4704, 384, 64]",0.0974,3.582016706466675,
structured_nonfinetune_0.95,0,2,28,2,64,NonCallBack,1.795273780822754,2746,"[2352, 192, 64]",0.0974,2.947972297668457,
random_unstructured_finetune_0.3,0,2,28,2,64,NonCallBack,183.54997658729553,38576,"[35123, 2867, 448]",0.9679,-11.039491653442383,2.272490978240967
random_unstructured_finetune_0.5,0,2,28,2,64,NonCallBack,183.48038148880005,27593,"[25088, 2048, 319]",0.9517,-6.209352493286133,1.5527901649475098
random_unstructured_finetune_0.8,0,2,28,2,64,NonCallBack,183.59018540382385,11121,"[10035, 820, 128]",0.8917,3.890007257461548,
random_unstructured_finetune_0.9,0,2,28,2,64,NonCallBack,182.315279006958,5628,"[5017, 409, 64]",0.7844,7.468829154968262,
random_unstructured_finetune_0.95,0,2,28,2,64,NonCallBack,197.87819361686707,2884,"[2509, 205, 32]",0.2086,-2.110280752182007,0.05496716499328613
random_unstructured_nonfinetune_0.3,0,2,28,2,64,NonCallBack,2.0294837951660156,38576,"[35123, 2867, 448]",0.8382,-4.675833702087402,48.23383402824402
random_unstructured_nonfinetune_0.5,0,2,28,2,64,NonCallBack,1.9368839263916016,27593,"[25088, 2048, 319]",0.7238,3.191499710083008,
random_unstructured_nonfinetune_0.8,0,2,28,2,64,NonCallBack,2.0862839221954346,11121,"[10035, 820, 128]",0.1001,-9.969438552856445,0.9183011054992676
random_unstructured_nonfinetune_0.9,0,2,28,2,64,NonCallBack,1.984682321548462,5628,"[5017, 409, 64]",0.1143,2.686796188354492,
random_unstructured_nonfinetune_0.95,0,2,28,2,64,NonCallBack,1.970430612564087,2884,"[2509, 205, 32]",0.1292,2.6522462368011475,
random_structured_finetune_0.3,0,2,28,2,64,NonCallBack,198.1199951171875,38746,"[35280, 2880, 448]",0.7822,1.8071751594543457,
random_structured_finetune_0.5,0,2,28,2,64,NonCallBack,184.57795786857605,27594,"[25088, 2048, 320]",0.5913,6.769897937774658,
random_structured_finetune_0.8,0,2,28,2,64,NonCallBack,183.61186504364014,10442,"[9408, 768, 128]",0.3055,8.700265884399414,
random_structured_finetune_0.9,0,2,28,2,64,NonCallBack,183.72627758979797,5290,"[4704, 384, 64]",0.2101,1.627446174621582,
random_structured_finetune_0.95,0,2,28,2,64,NonCallBack,182.33296084403992,2746,"[2352, 192, 64]",0.2099,5.991603374481201,
random_structured_nonfinetune_0.3,0,2,28,2,64,NonCallBack,2.008967876434326,38746,"[35280, 2880, 448]",0.6418,-15.044366836547852,3.967729091644287
random_structured_nonfinetune_0.5,0,2,28,2,64,NonCallBack,1.926189661026001,27594,"[25088, 2048, 320]",0.4199,-9.007765769958496,33.90852093696594
random_structured_nonfinetune_0.8,0,2,28,2,64,NonCallBack,1.9534187316894531,10442,"[9408, 768, 128]",0.0903,-0.9347107410430908,0.02465081214904785
random_structured_nonfinetune_0.9,0,2,28,2,64,NonCallBack,1.8582141399383545,5290,"[4704, 384, 64]",0.0974,0.7978742122650146,0.0194089412689209
random_structured_nonfinetune_0.95,0,2,28,2,64,NonCallBack,2.018251419067383,2746,"[2352, 192, 64]",0.0974,3.1043217182159424,
