method,model_size,parameters,seed,prune_amount,x_max,max_,first_max,time_count,start_count,valid_start_count,original_max,update_list
RW,"[10, 100, 100, 100, 1]","[0.001, 0.05]",50,0.0,"[0.9744935024332753, 0.9502231122002666, 0.0, 1.0, 0.0, 0.0, 1.0, 0.4761145017267712, 0.0, 0.00043199348800562276]",0.06269310414791107,0.05553761664361991,60.01642656326294,44,17,0.06269310414791107,"[[0.05553761664361991, [0.005255947183130398, 0.07063337743218687, 0.0, 0.545712000730529, 0.0, 0.0, 0.21363379566654384, 0.0, 0.0, 0.25695144316890245], 1, 1, 1.2754731178283691], [0.0625301976750557, [0.43981974554336484, 0.29804960664872115, 1.0, 0.30251745380902473, 0.0, 0.0, 1.0, 0.0, 1.0, 0.5402020998161347], 4, 4, 6.633508682250977], [0.06269310792092075, [0.9744935024332753, 0.9502231122002666, 0.0, 1.0, 0.0, 0.0, 1.0, 0.4761145017267712, 0.0, 0.00043199348800562276], 8, 7, 12.845564126968384]]"
RW,"[10, 100, 100, 100, 1]","[0.001, 0.05]",50,0.3,"[0.0052559529431164265, 0.07063337415456772, 0.0, 0.5457119941711426, 0.0, 0.0, 0.21363379061222076, 0.0, 0.0, 0.2569514214992523]",0.055537622421979904,0.05553761664361991,60.0094268321991,61,21,0.055537622421979904,"[[0.05553761664361991, [0.005255947183130398, 0.07063337743218687, 0.0, 0.545712000730529, 0.0, 0.0, 0.21363379566654384, 0.0, 0.0, 0.25695144316890245], 1, 1, 1.274068832397461], [0.055537622421979904, [0.0052559529431164265, 0.07063337415456772, 0.0, 0.5457119941711426, 0.0, 0.0, 0.21363379061222076, 0.0, 0.0, 0.2569514214992523], 2, 2, 1.915618896484375]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.0,"[0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293]",-0.015486061573028564,-0.031217026754259636,60.008941650390625,378,117,-0.015486054122447968,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.14736390113830566], [-0.01907046058349135, [0.0, 0.284277136984925, 1.0, 0.0, 0.0, 0.5739939767256309, 0.0, 0.46684523003389633, 0.9850840477563231, 0.22562870456963594], 2, 2, 0.3965878486633301], [-0.015486055684350394, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 8, 7, 1.5908586978912354], [-0.01548605245970823, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 106, 33, 16.48857569694519], [-0.015486050599148565, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 211, 54, 31.239208459854126]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.3,"[0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293]",-0.015486061573028564,-0.031217026754259636,60.0401976108551,523,169,-0.015486061573028564,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.14198088645935059], [-0.02045544471184875, [0.0, 0.7373413368289272, 1.0, 0.0, 0.0, 0.5211237240806913, 0.0, 0.35166460587888804, 1.0, 0.33946787721454086], 20, 11, 2.2158000469207764], [-0.02007187998813388, [0.2093187290649734, 0.8134266972699398, 1.0, 0.0, 0.0, 0.0, 0.0, 0.7000069015120493, 1.0, 0.008142459887379324], 55, 21, 7.0046305656433105], [-0.02007187157869339, [0.20931872725486755, 0.813426673412323, 1.0, 0.0, 0.0, 0.0, 0.0, 0.700006902217865, 1.0, 0.008142460137605667], 65, 22, 7.830821514129639], [-0.018176184298462225, [0.16859560578501173, 0.9663868394720821, 1.0, 0.0, 0.0, 0.0, 0.0, 0.583400334094296, 1.0, 0.016155777670168372], 78, 25, 9.163532018661499], [-0.018176183104515076, [0.1685955971479416, 0.9663868546485901, 1.0, 0.0, 0.0, 0.0, 0.0, 0.583400309085846, 1.0, 0.016155781224370003], 83, 28, 9.905692338943481], [-0.01635009418323878, [0.0, 0.47642814595665545, 1.0, 0.0, 0.0, 0.5235159507817634, 0.016729157425919662, 0.3744973943976542, 1.0, 0.1751023923520695], 252, 72, 28.224425792694092], [-0.016350090503692627, [0.0, 0.47642815113067627, 1.0, 0.0, 0.0, 0.5235159397125244, 0.01672915741801262, 0.3744973838329315, 1.0, 0.17510239779949188], 253, 73, 28.27754831314087], [-0.015486057611446141, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 257, 75, 28.76317548751831], [-0.015486056026373027, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 456, 138, 52.474480390548706]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.5,"[0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293]",-0.015486061573028564,-0.031217026754259636,60.0228316783905,601,195,-0.015486061573028564,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.14222240447998047], [-0.021862065644559753, [0.2124971350242147, 0.07453299200468548, 1.0, 0.0, 0.0, 0.0, 0.0, 0.9599496468292874, 1.0, 0.0], 450, 133, 44.034963846206665], [-0.02186206355690956, [0.21249713003635406, 0.07453299313783646, 1.0, 0.0, 0.0, 0.0, 0.0, 0.9599496722221375, 1.0, 0.0], 451, 134, 44.09147906303406], [-0.015486055495800705, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 456, 138, 44.73721528053284]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.8,"[0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0]",-0.031217027455568314,-0.031217026754259636,60.00446796417236,609,196,-0.031217027455568314,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.14120054244995117]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.9,"[0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0]",-0.031217027455568314,-0.031217026754259636,60.018049240112305,608,196,-0.031217027455568314,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.143296480178833]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.0,"[1.0, 0.19733038337957653, 1.0, 0.454283243906452, 0.0, 0.32379357089780014, 0.06182704977218833, 1.0, 0.19414975781550867, 0.5431346352743519]",0.17158611118793488,0.16987166814557855,60.029051780700684,86,26,0.17158612608909607,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8027036190032959], [0.1698716723709055, [1.0, 0.1571594497231982, 0.9764475961580279, 1.0, 0.0, 0.3617089429472398, 0.44442190752472466, 1.0, 0.781075328243075, 0.047347338534216896], 42, 14, 29.62562894821167], [0.17132704183906525, [1.0, 0.15618415679319714, 0.8628922015043599, 0.399381018873198, 0.0, 0.23388406851032623, 0.1684456974150555, 1.0, 0.23173895338363357, 0.49201432643904497], 74, 19, 49.362953424453735], [0.17158612597266631, [1.0, 0.19733038337957653, 1.0, 0.454283243906452, 0.0, 0.32379357089780014, 0.06182704977218833, 1.0, 0.19414975781550867, 0.5431346352743519], 76, 21, 51.226091384887695], [0.1715861280254184, [1.0, 0.1973303997091387, 1.0, 0.45428325256062363, 0.0, 0.32379358468830627, 0.061827051962141895, 1.0, 0.19414977327124358, 0.5431346096316434], 77, 22, 52.44803595542908], [0.17158612991036265, [1.0, 0.19733038337957653, 1.0, 0.454283243906452, 0.0, 0.32379357089780014, 0.06182704977218833, 1.0, 0.19414975781550867, 0.5431346352743519], 79, 23, 53.5222601890564]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.3,"[1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187]",0.16987165808677673,0.16987166814557855,60.01326537132263,108,33,0.16987165808677673,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8015968799591064]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.5,"[1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187]",0.16987165808677673,0.16987166814557855,60.01929593086243,109,33,0.16987165808677673,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8089876174926758]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.8,"[1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187]",0.16987165808677673,0.16987166814557855,60.11127781867981,109,33,0.16987165808677673,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8052775859832764]]"
