method,model_size,parameters,seed,prune_amount,x_max,max_,first_max,time_count,start_count,valid_start_count,original_max,update_list
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.0,"[0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293]",-0.015486061573028564,-0.031217026754259636,60.01399517059326,370,112,-0.015486054122447968,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.14747905731201172], [-0.022512065385996816, [0.0008278849202300017, 0.0, 1.0, 0.0, 0.0, 0.15349145347253204, 0.0, 0.8939202593614829, 1.0, 0.05973105743112451], 2, 2, 0.3277285099029541], [-0.015486052581721782, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 8, 7, 1.5612974166870117]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.3,"[0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293]",-0.015486061573028564,-0.031217026754259636,60.00458121299744,522,168,-0.015486061573028564,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.1421198844909668], [-0.02045544471184875, [0.0, 0.7373413368289272, 1.0, 0.0, 0.0, 0.5211237240806913, 0.0, 0.35166460587888804, 1.0, 0.33946787721454086], 20, 11, 2.1964123249053955], [-0.02007187998813388, [0.2093187290649734, 0.8134266972699398, 1.0, 0.0, 0.0, 0.0, 0.0, 0.7000069015120493, 1.0, 0.008142459887379324], 55, 21, 6.9442949295043945], [-0.02007187157869339, [0.20931872725486755, 0.813426673412323, 1.0, 0.0, 0.0, 0.0, 0.0, 0.700006902217865, 1.0, 0.008142460137605667], 65, 22, 7.769824504852295], [-0.018176184298462225, [0.16859560578501173, 0.9663868394720821, 1.0, 0.0, 0.0, 0.0, 0.0, 0.583400334094296, 1.0, 0.016155777670168372], 78, 25, 9.081426858901978], [-0.018176183104515076, [0.1685955971479416, 0.9663868546485901, 1.0, 0.0, 0.0, 0.0, 0.0, 0.583400309085846, 1.0, 0.016155781224370003], 83, 28, 9.826516389846802], [-0.01635009418323878, [0.0, 0.47642814595665545, 1.0, 0.0, 0.0, 0.5235159507817634, 0.016729157425919662, 0.3744973943976542, 1.0, 0.1751023923520695], 252, 72, 28.18995952606201], [-0.016350090503692627, [0.0, 0.47642815113067627, 1.0, 0.0, 0.0, 0.5235159397125244, 0.01672915741801262, 0.3744973838329315, 1.0, 0.17510239779949188], 253, 73, 28.242573738098145], [-0.015486057611446141, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 257, 75, 28.729695558547974], [-0.015486056026373027, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 456, 138, 52.575591802597046]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.5,"[0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293]",-0.015486061573028564,-0.031217026754259636,60.010090589523315,599,195,-0.015486061573028564,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.142073392868042], [-0.021862065644559753, [0.2124971350242147, 0.07453299200468548, 1.0, 0.0, 0.0, 0.0, 0.0, 0.9599496468292874, 1.0, 0.0], 450, 133, 44.21875882148743], [-0.02186206355690956, [0.21249713003635406, 0.07453299313783646, 1.0, 0.0, 0.0, 0.0, 0.0, 0.9599496722221375, 1.0, 0.0], 451, 134, 44.27472496032715], [-0.015486055495800705, [0.0, 0.458207076805536, 1.0, 0.0, 0.0, 0.5024191931872548, 0.004384783045342429, 0.4308420049084333, 1.0, 0.21783871251342293], 456, 138, 44.92224383354187]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.8,"[0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0]",-0.031217027455568314,-0.031217026754259636,60.00690269470215,603,195,-0.031217027455568314,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.14242267608642578]]"
RW,"[10, 100, 1]","[0.001, 0.05]",50,0.9,"[0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0]",-0.031217027455568314,-0.031217026754259636,60.02254056930542,603,195,-0.031217027455568314,"[[-0.031217026754259636, [0.2710199536199109, 0.0, 0.6994007064086804, 0.0, 0.27290362986537287, 0.0, 0.0, 1.0, 1.0, 0.0], 1, 1, 0.14203667640686035]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.0,"[1.0, 0.1973303997091387, 1.0, 0.45428325256062363, 0.0, 0.32379358468830627, 0.061827051962141895, 1.0, 0.19414977327124358, 0.5431346096316434]",0.17158611118793488,0.16987166814557855,60.1591739654541,82,25,0.17158612608909607,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8104383945465088], [0.16987167040516402, [1.0, 0.1571594497231982, 0.9764475961580279, 1.0, 0.0, 0.3617089429472398, 0.44442190752472466, 1.0, 0.781075328243075, 0.047347338534216896], 2, 2, 1.6297452449798584], [0.17031594010181758, [1.0, 0.0, 0.9059991810242515, 0.9602701793024178, 0.0, 0.07703271574414233, 0.0, 1.0, 0.3406460299677611, 0.3224688098938044], 3, 3, 2.6582329273223877], [0.17133925323749655, [1.0, 0.09785602792436268, 1.0, 0.4370835645388057, 0.0, 0.3982700854087287, 0.20718083399889434, 1.0, 0.3503359897270163, 0.5971004005631861], 11, 6, 8.676730155944824], [0.17158612889055203, [1.0, 0.1973303997091387, 1.0, 0.45428325256062363, 0.0, 0.32379358468830627, 0.061827051962141895, 1.0, 0.19414977327124358, 0.5431346096316434], 76, 21, 53.9057719707489]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.3,"[1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187]",0.16987165808677673,0.16987166814557855,60.046204805374146,107,32,0.16987165808677673,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.7996087074279785]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.5,"[1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187]",0.16987165808677673,0.16987166814557855,60.04917788505554,109,33,0.16987165808677673,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8052334785461426]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.8,"[1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187]",0.16987165808677673,0.16987166814557855,60.21716666221619,109,33,0.16987165808677673,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8032557964324951]]"
RW,"[10, 100, 100, 1]","[0.001, 0.05]",50,0.9,"[1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187]",0.16987165808677673,0.16987166814557855,60.07503843307495,109,33,0.16987165808677673,"[[0.16987166814557855, [1.0, 0.15715944374939547, 0.9764475932149197, 1.0, 0.0, 0.3617089361008684, 0.44442190551189614, 1.0, 0.781075325592331, 0.04734734709408187], 1, 1, 0.8012292385101318]]"
