method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution
no_warm_start_remove_region,"[1000, 10000, 10000, 1]",5520501,51,0.95,-inf,0.0386339426040649,146.1212649345398,630.7596883773804,2,600,
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",120401,50,0.0,-inf,0.045771524310112,0.99782395362854,600.5907382965088,78,600,0.2446022629737854
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",84371,50,0.3,-inf,0.0331295505166053,221.99035024642944,600.6086072921753,98,600,0.2446022629737854
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",60351,50,0.5,-inf,0.0357941389083862,184.8333954811096,600.5523953437805,102,600,0.2446022629737854
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",24321,50,0.8,-inf,-0.0195080265402793,335.9178431034088,600.7268912792206,158,600,0.2446022629737854
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",12311,50,0.9,-inf,-0.1269431561231613,0.6497313976287842,0.6749613285064697,3,600,0.2446022629737854
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",6306,50,0.95,-inf,-0.1269431561231613,0.6546356678009033,0.6891477108001709,3,600,0.2446022629737854
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",120401,51,0.0,-inf,0.187502235174179,1.2372026443481443,600.8034510612488,2,600,0.3834312558174133
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",84371,51,0.3,-inf,0.1364045739173889,1.035473108291626,600.796767950058,2,600,0.3834312558174133
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",60351,51,0.5,-inf,0.1345732808113098,0.6592535972595215,600.6422152519226,2,600,0.3834312558174133
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",24321,51,0.8,-inf,0.1336130201816558,0.6374351978302002,600.6010780334473,2,600,0.3834312558174133
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",12311,51,0.9,-inf,0.0976172983646392,0.4659245014190674,0.4876506328582763,3,600,0.3834312558174133
no_warm_start_remove_region,"[1000, 100, 100, 100, 1]",6306,51,0.95,-inf,0.0976172983646392,0.4483859539031982,0.4661328792572021,3,600,0.3834312558174133
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",3004001,50,0.0,-inf,0.1512673199176788,45.71801352500916,606.8693866729736,2,600,0.2531062364578247
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",2103701,50,0.3,-inf,0.1231831088662147,44.74433994293213,606.4619653224945,2,600,0.2531062364578247
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",1503501,50,0.5,-inf,0.0897430032491684,35.252275705337524,607.3906135559082,2,600,0.2531062364578247
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",603201,50,0.8,-inf,0.0186200626194477,25.515442848205566,606.5281863212585,2,600,0.2531062364578247
no_warm_start_remove_region,"[1000, 1000, 1000, 1000, 1]",303101,50,0.9,-inf,-0.0101405158638954,21.868149518966675,606.6307418346405,2,600,0.2531062364578247
