method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution
no_warm_start_dense_passing,"[1000, 100, 100, 1]",110301,50,0.0,1.1215528111559023,1.12155282497406,592.084305524826,600.3626623153687,439,600,0.9622607231140136
no_warm_start_dense_passing,"[1000, 1000, 1000, 1]",2003001,50,0.0,0.6371088138103,0.6371088624000549,26.56653213500977,605.193945646286,2,600,0.8362342715263367
no_warm_start_dense_passing,"[1000, 100, 100, 100, 1]",120401,50,0.0,0.2302307579856409,0.2302306890487671,552.6072883605957,601.3809745311737,216,600,0.2446022629737854
no_warm_start_dense_passing,"[1000, 1000, 1000, 1000, 1]",3004001,50,0.0,0.1512673278656056,0.1512673199176788,49.63892436027527,607.8992652893066,2,600,0.2531062364578247
no_warm_start_dense_passing,"[1000, 10000, 10000, 10000, 1]",210039991,50,0.0,-inf,-inf,,985.452719926834,0,600,
no_warm_start_dense_passing,"[10000, 100, 100, 1]",1010301,50,0.0,3.3361361827313853,3.3361358642578125,58.84444832801819,601.1853301525116,41,600,3.460690259933472
no_warm_start_dense_passing,"[10000, 1000, 1000, 1]",11003000,50,0.0,1.7275692200285664,1.7275691032409668,164.64214611053467,607.7230217456818,2,600,
no_warm_start_dense_passing,"[10000, 10000, 10000, 1]",200029992,50,0.0,0.02532717535352,0.0253267437219619,821.2917535305023,822.7609679698944,1,600,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 1]",1020401,50,0.0,0.121138881853897,0.1211388707160949,7.479760885238647,601.0786237716675,6,600,0.8198442459106445
no_warm_start_dense_passing,"[10000, 1000, 1000, 1000, 1]",12004000,50,0.0,0.2972418809975777,0.2972418069839477,234.7084965705872,611.9659790992737,2,600,
no_warm_start_dense_passing,"[10000, 10000, 10000, 10000, 1]",300039984,50,0.0,-0.0276839988741309,-0.0276840515434741,1190.578174352646,1191.8718569278717,1,600,
no_warm_start_dense_passing,"[100000, 100, 100, 1]",10010301,50,0.0,7.966532076481783,7.966532230377197,204.0148594379425,620.1381957530975,8,600,
no_warm_start_dense_passing,"[100000, 1000, 1000, 1]",101002997,50,0.0,0.055314096295664,0.0553139969706535,43.100950479507446,642.9631311893463,1,600,
no_warm_start_dense_passing,"[100000, 10000, 10000, 1]",1100029946,50,0.0,0.0201719990666601,0.0201716087758541,1103.4150643348694,1108.254167318344,1,600,
no_warm_start_dense_passing,"[100000, 100, 100, 100, 1]",10020401,50,0.0,0.0799029611225863,0.0799029618501663,6.87809419631958,606.9187915325165,1,600,
no_warm_start_dense_passing,"[100000, 1000, 1000, 1000, 1]",102003997,50,0.0,0.0436340559667358,0.0436333008110523,45.57555770874024,645.2297956943512,1,600,
no_warm_start_dense_passing,"[100000, 10000, 10000, 10000, 1]",1200039939,50,0.0,0.0073845918129918,0.0073845726437866,1364.6952250003817,1372.9900147914886,1,600,
no_warm_start_dense_passing,"[1000, 100, 100, 1]",77271,50,0.3,1.114834203602196,1.072906255722046,577.5227437019348,600.3369135856628,443,600,0.9622607231140136
no_warm_start_dense_passing,"[1000, 1000, 1000, 1]",1402701,50,0.3,0.6217800539937154,0.5891028642654419,18.97094130516052,603.7708866596222,2,600,0.8362342715263367
